,batter_name,team,birthday,height,weight,age
156,김민성,KIA,1988-03-30,180cm,85kg,32
157,안우주,KIA,1989-06-08,183cm,77kg,31
158,이다샘,KIA,1989-10-31,184cm,94kg,30
159,김광,KIA,1990-06-21,184cm,93kg,29
160,송원호,KIA,1990-12-04,182cm,85kg,29
161,송산,KIA,1982-07-02,180cm,86kg,37
162,유용목,KIA,1986-06-10,178cm,80kg,34
163,오준영,KIA,1989-09-17,178cm,78kg,30
164,장시하,KIA,1992-05-20,183cm,75kg,28
165,나담주,KIA,1989-05-11,182cm,78kg,31
166,강하승,KIA,1989-10-25,186cm,77kg,30
167,황수현,KIA,1991-08-31,188cm,90kg,28
168,김광연,KIA,1991-11-13,182cm,73kg,28
169,장준성,KIA,1992-09-18,176cm,75kg,27
170,유재혁,KIA,1992-03-29,182cm,70kg,28
171,조성진,KIA,1989-08-02,180cm,76kg,30
172,이동훈,KIA,1989-04-28,176cm,72kg,31
173,배장원,KIA,1990-05-17,181cm,88kg,30
174,서용주,KIA,1990-06-30,184cm,89kg,29
175,류기훈,KIA,1990-10-26,183cm,80kg,29
176,곽정철,KIA,1986-03-14,186cm,95kg,34
177,박성호,한화,1986-07-04,197cm,115kg,33
178,정용운,LG,1990-07-06,185cm,84kg,29
179,임기준,KIA,1991-10-08,182cm,75kg,28
180,홍건희,KIA,1992-09-29,185cm,76kg,27
181,이인행,KIA,1991-06-30,185cm,80kg,28
182,김다원,KIA,1985-09-17,185cm,88kg,34
183,임한용,KIA,1987-07-15,180cm,77kg,32
184,백세웅,KIA,1992-10-17,180cm,75kg,27
185,이정훈,Hero,1977-10-09,182cm,92kg,42
186,김병현,KIA,1979-01-19,178cm,85kg,41
187,김성태,Hero,1982-01-03,185cm,75kg,38
188,마정길,Hero,1979-03-13,177cm,79kg,41
189,배힘찬,KIA,1983-12-08,185cm,82kg,36
190,심수창,LG,1981-02-09,185cm,85kg,39
191,노환수,Hero,1984-06-30,180cm,82kg,35
192,오주원,Hero,1985-03-31,184cm,95kg,35
193,손승락,롯데,1982-03-04,187cm,99kg,38
194,박성훈,Hero,1982-09-19,188cm,88kg,37
195,이보근,KT,1986-04-30,187cm,90kg,34
196,김세현,SK,1987-08-07,188cm,98kg,32
197,조용훈,Hero,1987-10-29,184cm,79kg,32
198,김상수,Hero,1988-01-02,179cm,80kg,32
199,장시환,한화,1987-11-01,184cm,82kg,32
200,강윤구,NC,1990-07-10,183cm,89kg,29
201,문성현,Hero,1991-11-09,180cm,81kg,28
202,김동준,Hero,1992-03-02,185cm,90kg,28
203,박종윤,Hero,1993-02-09,173cm,83kg,27
204,신유원,Hero,1993-06-03,180cm,79kg,27
205,한현희,Hero,1993-06-26,182cm,81kg,26
207,권택형,Hero,1993-09-24,184cm,85kg,26
208,나이트,Hero,1975-10-01,183cm,88kg,44
209,밴헤켄,Hero,1979-07-31,193cm,90kg,40
210,최경철*,삼성,1980-08-15,180cm,86kg,39
211,허도환,KT,1984-07-31,176cm,87kg,35
212,임태준,Hero,1988-04-23,177cm,77kg,32
213,박동원,Hero,1990-04-07,179cm,78kg,30
214,이해창,한화,1987-05-11,184cm,85kg,33
215,지재옥,Hero,1988-07-24,177cm,99kg,31
216,김재현,Hero,1993-03-18,178cm,80kg,27
217,조중근,KT,1982-12-20,183cm,98kg,37
218,김민우,KIA,1979-03-21,184cm,84kg,41
219,지석훈,NC,1984-03-17,181cm,74kg,36
220,박병호,Hero,1986-07-10,185cm,107kg,33
221,강정호,Hero,1987-04-05,183cm,82kg,33
222,신현철,KT,1987-11-02,175cm,73kg,32
223,유재신,KIA,1987-11-21,179cm,70kg,32
224,김남형,Hero,1988-05-08,177cm,75kg,32
225,김민성,LG,1988-12-17,181cm,80kg,31
226,서건창,Hero,1989-08-22,176cm,80kg,30
227,김지수,Hero,1986-08-23,180cm,75kg,33
228,이창섭,NC,1987-03-10,181cm,74kg,33
229,송지만,Hero,1973-03-02,178cm,85kg,47
230,정수성,Hero,1978-03-04,173cm,72kg,42
231,오윤,한화,1981-09-08,185cm,92kg,38
232,장민석,한화,1982-05-09,180cm,73kg,38
233,이택근,Hero,1980-07-10,183cm,86kg,39
234,박정준,NC,1984-06-26,185cm,87kg,35
235,이성열,한화,1984-07-13,185cm,95kg,35
236,유한준,KT,1981-07-01,186cm,85kg,38
237,안태영,Hero,1985-03-15,186cm,93kg,35
238,전민수,LG,1989-03-18,177cm,76kg,31
239,박헌도,롯데,1987-01-01,178cm,102kg,33
240,문우람,Hero,1992-03-08,177cm,72kg,28
241,하해웅,Hero,1989-05-05,172cm,80kg,31
242,조덕길,Hero,1989-10-02,185cm,88kg,30
243,김성진,Hero,1994-03-02,188cm,87kg,26
244,신명수,Hero,1994-07-16,180cm,79kg,25
245,조상우,Hero,1994-09-04,186cm,92kg,25
246,김민준,Hero,1994-02-12,174cm,70kg,26
247,최유건,Hero,1988-08-02,195cm,91kg,31
248,최현정,KIA,1992-12-03,179cm,76kg,27
249,신정윤,Hero,1990-07-05,185cm,82kg,29
250,김경오,Hero,1990-11-20,181cm,95kg,29
251,김지열,KT,1988-08-09,179cm,80kg,31
252,문의서,Hero,1993-09-01,172cm,67kg,26
253,조승범,Hero,1989-09-25,189cm,93kg,30
254,박민성,Hero,1990-03-05,182cm,80kg,30
255,김진웅,Hero,1992-02-06,181cm,85kg,28
256,장시윤,LG,1993-09-23,183cm,75kg,26
257,이진욱,Hero,1989-07-23,184cm,83kg,30
258,윤정호,Hero,1988-01-23,181cm,83kg,32
259,박태균,Hero,1990-08-30,177cm,85kg,29
260,이상호,Hero,1994-02-25,178cm,84kg,26
261,금민철,KT,1986-11-07,181cm,87kg,33
262,정회찬,Hero,1987-02-07,194cm,101kg,33
263,김대유,LG,1991-05-08,187cm,92kg,29
264,김건태,NC,1991-10-02,185cm,85kg,28
265,안규성,Hero,1991-11-09,185cm,93kg,28
266,김대우,삼성,1988-11-21,183cm,87kg,31
267,박정준,두산,1992-03-22,182cm,82kg,28
268,유선정,Hero,1986-08-21,178cm,88kg,33
269,장영석,KIA,1990-05-14,186cm,95kg,30
270,정범수,Hero,1992-08-08,178cm,79kg,27
271,고종욱,SK,1989-01-11,184cm,82kg,31
272,홍성갑,Hero,1992-08-02,181cm,80kg,27
273,박정음,Hero,1989-04-15,175cm,77kg,31
274,류택현,LG,1971-10-23,185cm,80kg,48
275,이상열,SK,1977-04-20,185cm,73kg,43
276,정현욱,LG,1978-12-02,187cm,102kg,41
277,김광삼,LG,1980-08-15,184cm,90kg,39
278,이동학,LG,1981-05-06,184cm,92kg,39
279,이동현,LG,1983-01-12,192cm,98kg,37
280,정재복,LG,1981-02-13,192cm,105kg,39
281,우규민,삼성,1985-01-21,184cm,75kg,35
282,조영민,LG,1981-03-11,175cm,90kg,39
283,신재웅,SK,1982-03-28,181cm,85kg,38
284,김선규,NC,1986-04-20,185cm,94kg,34
285,김효남,LG,1983-03-26,183cm,95kg,37
286,김기표,KT,1983-04-25,185cm,84kg,37
287,유원상,KT,1986-06-17,187cm,93kg,34
288,봉중근,LG,1980-07-15,190cm,98kg,39
289,정찬헌,LG,1990-01-26,187cm,94kg,30
290,배우열,KT,1986-05-19,181cm,80kg,34
291,최동환,LG,1989-09-19,184cm,83kg,30
292,한희,LG,1989-11-11,182cm,86kg,30
293,신정락,한화,1987-05-13,177cm,78kg,33
294,이희성,LG,1988-03-09,185cm,93kg,32
295,임정우,LG,1991-04-02,183cm,77kg,29
296,송윤준,한화,1992-07-16,186cm,78kg,27
297,임찬규,LG,1992-11-20,185cm,80kg,27
298,최성훈,LG,1989-10-11,178cm,75kg,30
299,신동훈,SK,1994-01-24,183cm,80kg,26
300,류제국,LG,1983-05-30,190cm,105kg,37
301,주키치,LG,1982-10-17,195cm,98kg,37
302,리즈,LG,1983-10-06,185cm,87kg,36
303,현재윤,LG,1979-07-08,174cm,80kg,40
304,윤요섭,KT,1982-03-30,180cm,96kg,38
305,조윤준,LG,1989-08-30,185cm,95kg,30
306,최동수,LG,1971-09-11,186cm,98kg,48
307,권용관,한화,1976-11-19,180cm,80kg,43
308,김일경,LG,1978-07-01,178cm,72kg,41
309,정성훈,KIA,1980-06-27,182cm,83kg,39
310,손주인,삼성,1983-12-01,179cm,82kg,36
311,서동욱,KIA,1984-03-21,188cm,99kg,36
312,최승준,한화,1988-01-11,188cm,88kg,32
313,김용의,LG,1985-08-20,187cm,74kg,34
314,오지환,LG,1990-03-12,186cm,80kg,30
315,문선재,KIA,1990-05-20,184cm,80kg,30
316,정주현,LG,1990-10-13,176cm,76kg,29
317,김지성,KIA,1985-07-20,178cm,80kg,34
318,최영진,삼성,1988-05-10,185cm,87kg,32
319,이장희,LG,1989-10-16,175cm,75kg,30
320,전호영,LG,1994-01-05,186cm,92kg,26
322,이진영,KT,1980-06-15,185cm,90kg,40
323,박용택,LG,1979-04-21,185cm,90kg,41
324,이대형,KT,1983-07-19,184cm,78kg,36
325,정의윤,SK,1986-07-25,185cm,87kg,33
326,양영동,LG,1983-07-16,173cm,70kg,36
327,이병규,롯데,1983-10-09,178cm,90kg,36
328,황선일,한화,1987-02-17,186cm,81kg,33
329,임도현,LG,1985-09-06,180cm,84kg,34
330,이천웅,LG,1988-10-20,182cm,83kg,31
331,김재민,LG,1991-01-28,177cm,84kg,29
332,강승호,SK,1994-02-09,179cm,77kg,26
333,안진근,LG,1994-03-28,185cm,82kg,26
334,심재윤,LG,1994-08-19,184cm,80kg,25
335,전인환,LG,1990-06-04,183cm,83kg,30
336,배민관,LG,1991-07-29,185cm,93kg,28
337,나규호,LG,1989-03-28,186cm,92kg,31
338,이성진,LG,1992-02-23,181cm,86kg,28
339,류원석,LG,1989-11-18,188cm,90kg,30
340,곽무균,LG,1990-02-22,180cm,74kg,30
341,박범열,LG,1990-04-02,181cm,92kg,30
342,이찬원,LG,1990-05-12,180cm,83kg,30
343,조근종,KT,1990-05-16,186cm,80kg,30
344,이윤학,KIA,1994-06-18,187cm,86kg,26
345,백남원,LG,1994-10-04,182cm,80kg,25
346,배재준,LG,1994-11-24,188cm,80kg,25
347,채은성,LG,1990-02-06,186cm,92kg,30
348,유재상,LG,1989-04-13,180cm,80kg,31
349,허재영,LG,1991-06-17,181cm,85kg,29
350,장진용,LG,1986-01-28,187cm,92kg,34
351,박용근,KT,1984-01-21,172cm,76kg,36
352,강지광,SK,1990-10-23,181cm,85kg,29
353,김훈영,LG,1991-03-13,185cm,90kg,29
354,오상엽,LG,1994-09-29,183cm,75kg,25
355,김동영,LG,1989-08-08,177cm,78kg,30
356,채우석,LG,1990-04-25,180cm,78kg,30
357,양승진,LG,1987-04-19,183cm,80kg,33
358,이범준,LG,1989-07-15,188cm,90kg,30
359,김지용,LG,1988-02-20,177cm,81kg,32
360,유경국,LG,1991-07-12,177cm,78kg,28
361,이승현,삼성,1991-11-20,181cm,92kg,28
362,윤지웅,NC,1988-03-11,180cm,72kg,32
363,최인영,,1989-07-29,185cm,76kg,30
364,이우찬,LG,1992-08-04,184cm,91kg,27
365,정다흰,LG,1992-12-15,193cm,93kg,27
366,김창혁,한화,1991-05-17,179cm,80kg,29
367,나성용,삼성,1988-01-05,183cm,94kg,32
368,유강남,LG,1992-07-15,182cm,88kg,27
369,박경수,KT,1984-03-31,178cm,80kg,36
370,윤진호,LG,1986-06-23,178cm,78kg,33
371,백진우,한화,1988-05-09,179cm,79kg,32
372,김재율,LG,1989-01-14,186cm,90kg,31
373,강병의,LG,1992-01-02,180cm,70kg,28
374,최성민,LG,1990-07-31,186cm,80kg,29
375,윤정우,SK,1988-05-12,188cm,85kg,32
376,유재호,LG,1991-04-07,186cm,90kg,29
377,이민재,LG,1988-02-05,177cm,77kg,32
378,서상우,LG,1989-09-17,187cm,90kg,30
379,박정훈,NC,1986-10-24,186cm,91kg,33
380,최금강,NC,1989-04-26,195cm,95kg,31
381,이성민*,롯데,1990-03-30,184cm,86kg,30
382,임정호,NC,1990-04-16,188cm,85kg,30
383,윤강민,NC,1990-10-08,183cm,88kg,29
384,이상민,Hero,1990-11-04,180cm,78kg,29
385,손정욱,NC,1990-12-24,180cm,84kg,29
386,윤호솔,한화,1994-07-15,183cm,99kg,25
387,장현식,NC,1995-02-24,181cm,88kg,25
388,장동우,NC,1988-06-21,185cm,94kg,31
389,이상호,NC,1989-02-05,180cm,82kg,31
390,최재원,LG,1990-07-30,183cm,81kg,29
391,윤형준,LG,1994-01-31,186cm,97kg,26
392,유영준,NC,1994-07-13,183cm,79kg,25
393,박으뜸,NC,1990-06-14,176cm,70kg,30
394,권희동,NC,1990-12-31,177cm,85kg,29
395,변강득,NC,1987-05-29,180cm,87kg,33
396,류동호,NC,1989-10-29,181cm,78kg,30
397,김병승,NC,1989-03-16,183cm,80kg,31
398,박진우,NC,1990-02-12,180cm,82kg,30
399,강동호,NC,1990-03-26,178cm,83kg,30
400,김건우,NC,1990-04-06,188cm,85kg,30
401,이효준,NC,1994-03-30,186cm,88kg,26
402,김희원,NC,1994-06-07,181cm,87kg,26
403,김정운,NC,1994-10-01,192cm,86kg,25
404,박가람,NC,1994-01-15,178cm,77kg,26
405,장동웅,NC,1988-04-07,180cm,90kg,32
406,김도환,NC,1990-02-23,174cm,83kg,30
407,이준평,NC,1990-07-23,184cm,86kg,29
408,이태초,NC,1991-06-22,174cm,90kg,28
409,이호성,NC,1986-08-15,189cm,98kg,33
410,김동현,NC,1986-01-22,178cm,76kg,34
411,손정훈,NC,1986-01-14,178cm,75kg,34
412,구본욱,NC,1990-05-05,183cm,88kg,30
413,김성호,NC,1990-07-30,182cm,77kg,29
414,임제우,NC,1990-12-05,176cm,77kg,29
415,강병우,NC,1986-12-26,183cm,84kg,33
416,강성호,NC,1988-02-23,189cm,91kg,32
417,이철우,NC,1989-06-30,183cm,86kg,30
418,김준완,NC,1991-01-20,174cm,73kg,29
419,박세웅,NC,1993-08-12,180cm,80kg,26
420,박기민,두산,1988-05-15,176cm,78kg,32
421,황윤호,KIA,1993-09-22,177cm,78kg,26
422,오정복,KT,1986-10-13,176cm,77kg,33
423,권오준,삼성,1980-03-09,182cm,80kg,40
424,배영수,두산,1981-05-04,184cm,84kg,39
425,김건한,삼성,1981-03-26,182cm,82kg,39
426,신용운,삼성,1983-09-08,180cm,72kg,36
427,안지만,삼성,1983-10-01,180cm,83kg,36
428,권혁,두산,1983-11-06,187cm,85kg,36
429,윤성환,삼성,1981-10-08,183cm,88kg,38
430,박근홍,롯데,1985-08-22,180cm,90kg,34
431,오승환,삼성,1982-07-15,178cm,92kg,37
432,조현근,삼성,1985-11-21,184cm,74kg,34
433,장원삼,롯데,1983-06-09,181cm,81kg,37
434,김기태,삼성,1987-05-11,183cm,96kg,33
435,차우찬,LG,1987-05-31,185cm,80kg,33
436,이동걸,한화,1983-08-12,185cm,87kg,36
437,백정현,삼성,1987-07-13,184cm,80kg,32
438,이승우,삼성,1988-12-08,183cm,83kg,31
439,김건필,삼성,1988-06-19,187cm,93kg,32
440,최원제,삼성,1989-02-04,183cm,95kg,31
441,노진용,삼성,1990-02-15,182cm,85kg,30
442,이우선,삼성,1983-04-19,179cm,83kg,37
443,양지훈,삼성,1985-04-15,183cm,82kg,35
444,김현우,삼성,1988-01-21,185cm,111kg,32
445,심창민,삼성,1993-02-01,185cm,86kg,27
446,이현동,삼성,1993-03-27,183cm,83kg,27
447,밴덴헐크,삼성,1985-05-22,196cm,98kg,35
448,로드리게스,삼성,1987-12-13,193cm,91kg,32
449,진갑용*,삼성,1974-05-08,182cm,90kg,46
450,채상병,삼성,1979-12-18,184cm,95kg,40
451,이정식,삼성,1981-11-02,183cm,90kg,38
452,김동욱,KT,1988-06-24,183cm,89kg,31
453,이지영,Hero,1986-02-27,178cm,83kg,34
454,정우양,삼성,1988-07-06,182cm,82kg,31
455,이승엽,삼성,1976-08-18,183cm,87kg,43
456,신명철,KT,1978-08-06,181cm,77kg,41
457,조동찬,삼성,1983-07-27,180cm,80kg,36
458,강명구,삼성,1980-10-25,181cm,70kg,39
459,김태완,삼성,1981-09-19,174cm,81kg,38
460,박석민,NC,1985-06-22,178cm,88kg,34
461,모상기,KT,1987-01-03,193cm,100kg,33
462,채태인,SK,1982-10-11,187cm,94kg,37
463,김상수,삼성,1990-03-23,175cm,68kg,30
464,백상원,삼성,1988-01-02,177cm,76kg,32
465,김정혁,삼성,1985-08-03,182cm,82kg,34
466,정병곤,두산,1988-03-23,176cm,72kg,32
467,성의준,삼성,1989-12-17,175cm,75kg,30
468,강봉규,삼성,1978-01-12,183cm,88kg,42
469,박한이,삼성,1979-01-28,182cm,91kg,41
470,최형우,KIA,1983-12-16,179cm,106kg,36
471,허승민,삼성,1986-02-28,177cm,75kg,34
472,김경모,삼성,1989-06-15,177cm,72kg,31
473,우동균,삼성,1989-12-03,175cm,68kg,30
474,배영섭,SK,1986-06-27,178cm,78kg,33
475,정형식,삼성,1991-01-28,178cm,73kg,29
476,이상훈,삼성,1987-05-04,171cm,75kg,33
477,김헌곤,삼성,1988-11-09,174cm,81kg,31
478,박찬도,삼성,1989-02-22,185cm,75kg,31
479,손형준,삼성,1989-07-01,186cm,88kg,30
480,두영진,삼성,1985-09-30,187cm,84kg,34
481,홍효의,삼성,1989-03-02,190cm,87kg,31
482,이흥련,두산,1989-05-16,183cm,85kg,31
483,김성표,삼성,1994-03-17,179cm,65kg,26
484,윤대경,한화,1994-04-09,179cm,75kg,26
485,정현,SK,1994-06-01,181cm,80kg,26
486,김지훈,KIA,1993-03-19,177cm,80kg,27
487,이준형,LG,1993-06-03,188cm,76kg,27
488,박상원,삼성,1994-02-07,187cm,76kg,26
489,이재익,삼성,1994-03-18,180cm,76kg,26
490,박재근,삼성,1994-05-09,190cm,95kg,26
491,김종석,삼성,1994-09-08,185cm,87kg,25
492,이영수,삼성,1981-05-09,184cm,90kg,39
493,김현중,삼성,1986-08-16,180cm,90kg,33
494,김동영,삼성,1990-05-12,180cm,78kg,30
495,김영훈,삼성,1989-03-24,178cm,75kg,31
496,김준호,삼성,1989-11-25,176cm,85kg,30
497,한겸,삼성,1993-06-02,173cm,72kg,27
498,강원형,삼성,1990-02-22,178cm,95kg,30
499,라준성,삼성,1990-08-25,176cm,68kg,29
500,김영환,KT,1993-01-31,178cm,74kg,27
501,조원태,삼성,1992-03-31,175cm,80kg,28
502,정두산,삼성,1989-03-06,183cm,90kg,31
503,이동현,삼성,1989-08-05,177cm,78kg,30
504,박해민,삼성,1990-02-24,180cm,75kg,30
505,이동훈,삼성,1992-06-27,186cm,101kg,27
506,신용승,KT,1993-04-04,180cm,76kg,27
507,정승인,삼성,1990-07-11,183cm,85kg,29
508,곽병선,삼성,1994-08-04,178cm,85kg,25
509,박민규,삼성,1990-09-12,180cm,76kg,29
510,정인욱,삼성,1990-12-18,186cm,85kg,29
511,임진우,두산,1987-05-13,186cm,95kg,33
512,김재우,삼성,1987-07-04,186cm,83kg,32
513,임현준,삼성,1988-12-21,184cm,85kg,31
514,우병걸,삼성,1990-03-31,183cm,81kg,30
515,황수범,삼성,1986-11-17,183cm,81kg,33
516,구자욱,삼성,1993-02-12,189cm,75kg,27
517,이영욱,KIA,1985-10-11,180cm,85kg,34
518,문선엽,삼성,1991-07-31,175cm,80kg,28
519,최영필,KIA,1974-05-13,184cm,92kg,46
520,임경완,한화,1975-12-28,185cm,94kg,44
521,이승호,SK,1976-08-23,189cm,90kg,43
522,엄정욱,SK,1981-06-18,191cm,94kg,39
