,name,year,team,position,war,g,ts,ab,r1,h,b2,b3,hr,tb,rbi,sb,cs,bb,hbp,bb4,so,gdp,ht,hb,avg,obp,slg,ops,birthday,height,weight,age
16,테임즈,2015,NC,1B,10.71,142,595,472,130,180,42,5,47,373,140,40,8,103,13,11,91,7,0,7,0.381,0.498,0.79,1.288,1986-11-10,183cm,95kg,28
17,테임즈,2014,NC,1B,6.32,125,514,443,95,152,30,6,37,305,121,11,2,58,7,5,99,6,0,6,0.34299999999999997,0.42200000000000004,0.688,1.111,1986-11-10,183cm,95kg,27
18,테임즈,2016,NC,1B,5.97,123,529,436,118,140,30,3,40,296,121,13,4,74,12,6,103,2,0,7,0.321,0.42700000000000005,0.679,1.1059999999999999,1986-11-10,183cm,95kg,29
19,이승엽,2002,삼성,1B,8.96,133,617,511,123,165,42,2,47,352,126,1,2,89,15,5,109,11,0,2,0.32299999999999995,0.436,0.6890000000000001,1.125,1976-08-18,183cm,87kg,25
20,이승엽,1999,삼성,1B,8.91,132,614,486,128,157,33,2,54,356,123,10,2,112,12,6,114,7,0,4,0.32299999999999995,0.45799999999999996,0.733,1.19,1976-08-18,183cm,87kg,22
21,이승엽,2003,삼성,1B,8.39,131,596,479,115,144,23,0,56,335,144,7,0,101,10,9,89,11,0,6,0.301,0.428,0.6990000000000001,1.127,1976-08-18,183cm,87kg,26
22,이승엽,1997,삼성,1B,6.78,126,577,517,96,170,37,3,32,309,114,5,2,49,6,4,79,10,1,4,0.32899999999999996,0.391,0.598,0.988,1976-08-18,183cm,87kg,20
23,이승엽,1998,삼성,1B,6.73,126,568,477,100,146,32,2,38,296,102,0,2,78,5,10,97,4,1,7,0.306,0.40399999999999997,0.621,1.024,1976-08-18,183cm,87kg,21
24,이승엽,2001,삼성,1B,5.52,127,574,463,101,128,31,2,39,280,95,4,2,96,12,11,130,6,1,2,0.276,0.41200000000000003,0.605,1.0170000000000001,1976-08-18,183cm,87kg,24
25,이승엽,2012,삼성,1B,5.47,126,556,488,84,150,28,2,21,245,85,6,0,59,4,4,101,10,1,4,0.307,0.384,0.502,0.8859999999999999,1976-08-18,183cm,87kg,35
26,이승엽,2000,삼성,1B,5.18,125,544,454,108,133,33,0,36,274,95,4,5,80,7,7,113,5,0,3,0.293,0.40399999999999997,0.604,1.008,1976-08-18,183cm,87kg,23
27,이승엽,1996,삼성,1B,3.65,122,504,459,57,139,32,6,9,210,76,4,1,34,5,4,42,10,1,5,0.303,0.354,0.45799999999999996,0.8109999999999999,1976-08-18,183cm,87kg,19
28,이승엽,2015,삼성,DH,3.14,122,522,470,87,156,28,1,26,264,90,2,1,40,6,2,71,10,0,6,0.332,0.387,0.562,0.9490000000000001,1976-08-18,183cm,87kg,38
29,이승엽,1995,삼성,1B,2.77,121,411,365,55,104,29,1,13,174,73,0,3,33,4,1,54,4,2,7,0.285,0.345,0.47700000000000004,0.8220000000000001,1976-08-18,183cm,87kg,18
30,이승엽,2016,삼성,DH,2.62,142,623,542,91,164,32,2,27,281,118,5,2,65,8,1,89,7,0,8,0.303,0.38,0.518,0.899,1976-08-18,183cm,87kg,39
31,이승엽,2014,삼성,DH,2.42,127,548,506,83,156,30,0,32,282,101,5,1,40,0,3,77,10,0,2,0.308,0.358,0.557,0.915,1976-08-18,183cm,87kg,37
32,이승엽,2017,삼성,DH,1.18,135,533,472,65,132,30,5,24,244,87,1,1,47,6,6,85,7,0,8,0.28,0.34700000000000003,0.517,0.8640000000000001,1976-08-18,183cm,87kg,40
33,이승엽,2013,삼성,1B,0.37,111,483,443,62,112,24,0,13,175,69,3,1,30,2,2,94,8,0,8,0.253,0.298,0.395,0.693,1976-08-18,183cm,87kg,36
34,이승엽,2006,두산,,-0.21,12,12,11,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0.0,0.083,0.0,0.083,1976-08-18,183cm,87kg,29
35,이대호,2010,롯데,3B,8.82,127,552,478,99,174,13,0,44,319,133,0,2,61,10,6,77,15,0,3,0.364,0.444,0.667,1.111,1982-06-21,194cm,130kg,27
36,이대호,2007,롯데,1B,7.0,121,514,415,79,139,21,1,29,249,87,1,0,81,13,25,55,9,0,5,0.335,0.45299999999999996,0.6,1.053,1982-06-21,194cm,130kg,24
37,이대호,2011,롯데,1B,6.89,133,570,493,76,176,26,1,27,285,113,2,0,63,8,8,60,22,0,6,0.35700000000000004,0.433,0.578,1.011,1982-06-21,194cm,130kg,28
38,이대호,2006,롯데,1B,6.52,122,499,443,71,149,26,0,26,253,88,0,1,39,16,5,55,11,0,1,0.336,0.409,0.5710000000000001,0.98,1982-06-21,194cm,130kg,23
39,이대호,2008,롯데,3B,5.51,122,527,435,73,131,23,0,18,208,94,0,1,62,18,4,56,9,0,12,0.301,0.4,0.478,0.879,1982-06-21,194cm,130kg,25
40,이대호,2009,롯데,3B,4.84,133,549,478,73,140,28,1,28,254,100,0,0,51,16,3,65,13,0,4,0.293,0.377,0.531,0.9079999999999999,1982-06-21,194cm,130kg,26
41,이대호,2005,롯데,3B,3.98,126,512,447,53,119,16,2,21,202,80,1,0,47,15,4,76,12,0,3,0.266,0.354,0.452,0.805,1982-06-21,194cm,130kg,22
42,이대호,2018,롯데,DH,3.84,144,604,543,81,181,30,0,37,322,125,0,1,43,14,7,75,18,0,4,0.33299999999999996,0.39399999999999996,0.593,0.987,1982-06-21,194cm,130kg,35
43,이대호,2017,롯데,1B,3.67,142,608,540,73,173,13,0,34,288,111,1,1,50,15,8,84,22,0,3,0.32,0.391,0.5329999999999999,0.925,1982-06-21,194cm,130kg,34
44,이대호,2019,롯데,DH,1.79,135,549,485,48,138,23,1,16,211,88,0,0,48,9,4,65,19,0,7,0.285,0.355,0.435,0.79,1982-06-21,194cm,130kg,36
45,이대호,2004,롯데,1B,1.57,132,514,444,52,110,26,0,20,196,68,4,3,38,20,0,78,21,6,6,0.248,0.331,0.441,0.772,1982-06-21,194cm,130kg,21
46,이대호,2002,롯데,DH,1.06,74,281,255,27,71,19,0,8,114,32,1,0,19,7,1,66,6,0,0,0.278,0.345,0.447,0.792,1982-06-21,194cm,130kg,19
47,이대호,2001,롯데,1B,0.13,6,9,8,0,4,0,0,0,4,1,0,0,1,0,0,2,0,0,0,0.5,0.556,0.5,1.056,1982-06-21,194cm,130kg,18
48,이대호,2003,롯데,1B,0.05,54,173,152,8,37,6,0,4,55,13,0,2,13,6,0,37,3,2,0,0.243,0.32799999999999996,0.36200000000000004,0.6890000000000001,1982-06-21,194cm,130kg,20
49,양준혁,1996,삼성,RF,8.56,126,530,436,89,151,33,2,28,272,87,23,18,82,6,8,76,4,0,5,0.34600000000000003,0.452,0.624,1.0759999999999998,1969-05-26,188cm,95kg,26
50,양준혁,1997,삼성,RF,8.17,126,561,442,94,145,32,5,30,277,98,25,17,103,7,27,75,7,0,8,0.32799999999999996,0.455,0.627,1.082,1969-05-26,188cm,95kg,27
51,양준혁,1993,삼성,1B,6.85,106,456,381,82,130,27,1,23,228,90,4,9,61,8,6,40,7,0,6,0.341,0.436,0.598,1.035,1969-05-26,188cm,95kg,23
52,양준혁,2007,삼성,DH,6.72,123,544,442,78,149,34,0,22,249,72,20,8,91,7,15,44,12,1,2,0.337,0.456,0.563,1.0190000000000001,1969-05-26,188cm,95kg,37
53,양준혁,1995,삼성,LF,6.68,125,527,438,81,137,34,1,20,233,84,8,2,77,6,8,50,7,0,6,0.313,0.418,0.532,0.9490000000000001,1969-05-26,188cm,95kg,25
54,양준혁,2004,삼성,1B,6.37,133,584,479,95,151,30,0,28,265,103,5,2,89,13,8,53,10,1,2,0.315,0.434,0.5529999999999999,0.987,1969-05-26,188cm,95kg,34
55,양준혁,2003,삼성,LF,6.21,133,551,490,90,161,37,2,33,301,92,2,5,49,6,2,49,13,4,2,0.32899999999999996,0.395,0.614,1.0090000000000001,1969-05-26,188cm,95kg,33
56,양준혁,1998,삼성,DH,6.2,126,552,456,80,156,30,1,27,269,89,15,14,87,5,26,69,14,0,3,0.342,0.45,0.59,1.04,1969-05-26,188cm,95kg,28
57,양준혁,2006,삼성,DH,5.45,126,533,413,63,125,31,1,13,197,81,12,7,103,9,10,43,11,1,7,0.303,0.446,0.47700000000000004,0.9229999999999999,1969-05-26,188cm,95kg,36
58,양준혁,2001,LG,DH,4.79,124,531,439,79,156,20,3,14,224,92,12,5,80,1,4,55,9,2,8,0.355,0.449,0.51,0.9590000000000001,1969-05-26,188cm,95kg,31
59,양준혁,1999,해태,DH,4.71,131,588,496,96,160,23,1,32,281,105,21,12,82,5,7,68,14,1,4,0.32299999999999995,0.42100000000000004,0.5670000000000001,0.987,1969-05-26,188cm,95kg,29
60,양준혁,1994,삼성,DH,4.22,123,496,427,62,128,21,1,19,208,87,15,4,63,0,7,42,7,1,5,0.3,0.386,0.48700000000000004,0.873,1969-05-26,188cm,95kg,24
61,양준혁,2000,LG,DH,4.03,117,514,432,79,135,30,2,15,214,92,15,4,73,5,4,65,6,0,3,0.313,0.415,0.495,0.9109999999999999,1969-05-26,188cm,95kg,30
62,양준혁,2009,삼성,DH,2.71,82,322,249,51,82,16,0,11,131,48,3,4,63,4,4,24,7,1,5,0.32899999999999996,0.46399999999999997,0.526,0.99,1969-05-26,188cm,95kg,39
63,양준혁,2002,삼성,RF,2.37,132,437,391,60,108,23,2,14,177,50,2,3,39,5,3,56,9,0,1,0.276,0.349,0.45299999999999996,0.8009999999999999,1969-05-26,188cm,95kg,32
64,양준혁,2005,삼성,DH,1.79,124,463,394,61,103,15,1,13,159,50,10,3,62,5,5,44,16,0,2,0.261,0.36700000000000005,0.40399999999999997,0.7709999999999999,1969-05-26,188cm,95kg,35
65,양준혁,2008,삼성,DH,1.4,114,443,385,49,107,16,2,8,151,49,1,1,46,7,4,37,10,2,2,0.278,0.364,0.392,0.7559999999999999,1969-05-26,188cm,95kg,38
66,양준혁,2010,삼성,DH,0.02,64,175,142,10,34,6,0,1,43,20,0,1,28,3,2,20,3,0,2,0.239,0.371,0.303,0.674,1969-05-26,188cm,95kg,40
67,박경완,2004,SK,C,8.36,132,526,410,94,121,19,1,34,244,79,2,5,94,14,3,126,9,6,2,0.295,0.44,0.595,1.036,1972-07-11,178cm,88kg,31
68,박경완,2000,현대,C,7.47,130,517,408,83,115,16,0,40,251,95,7,4,87,12,7,112,7,6,4,0.282,0.419,0.615,1.034,1972-07-11,178cm,88kg,27
69,박경완,2001,현대,C,5.32,130,528,421,66,108,13,1,24,195,81,21,8,91,7,2,121,9,6,3,0.257,0.395,0.46299999999999997,0.858,1972-07-11,178cm,88kg,28
70,박경완,1997,쌍방울,C,4.75,82,314,239,46,67,15,1,16,132,48,2,3,58,8,1,59,7,5,4,0.28,0.43,0.552,0.983,1972-07-11,178cm,88kg,24
71,박경완,1995,쌍방울,C,4.29,121,429,361,48,82,13,2,19,156,46,5,2,56,8,4,100,5,4,0,0.22699999999999998,0.344,0.43200000000000005,0.7759999999999999,1972-07-11,178cm,88kg,22
72,박경완,2007,SK,C,3.94,119,437,352,60,87,21,1,15,155,60,6,3,55,10,4,68,9,11,9,0.247,0.35700000000000004,0.44,0.797,1972-07-11,178cm,88kg,34
73,박경완,1998,현대,C,3.84,123,458,404,54,101,25,1,19,185,66,3,3,39,6,0,103,10,7,2,0.25,0.324,0.45799999999999996,0.782,1972-07-11,178cm,88kg,25
74,박경완,2010,SK,C,3.78,129,472,381,51,100,20,0,14,162,67,1,1,46,27,2,88,11,15,3,0.262,0.379,0.425,0.804,1972-07-11,178cm,88kg,37
75,박경완,1996,쌍방울,C,3.66,126,480,367,58,80,19,2,15,148,74,2,5,60,19,3,113,6,24,10,0.218,0.349,0.40299999999999997,0.752,1972-07-11,178cm,88kg,23
76,박경완,2003,SK,C,3.35,122,428,336,49,84,16,2,15,149,60,6,6,59,9,2,93,8,21,3,0.25,0.374,0.44299999999999995,0.8170000000000001,1972-07-11,178cm,88kg,30
77,박경완,2006,SK,C,3.24,111,380,324,38,82,13,0,13,134,51,2,2,37,9,5,91,5,6,4,0.253,0.342,0.414,0.7559999999999999,1972-07-11,178cm,88kg,33
78,박경완,2008,SK,C,3.23,101,370,304,44,83,17,0,7,121,36,6,4,48,6,0,64,8,7,5,0.273,0.377,0.39799999999999996,0.775,1972-07-11,178cm,88kg,35
79,박경완,1999,현대,C,3.14,124,467,367,67,81,16,1,23,168,67,2,2,72,8,2,95,9,18,2,0.221,0.359,0.45799999999999996,0.816,1972-07-11,178cm,88kg,26
80,박경완,2005,SK,C,2.75,114,425,347,43,85,17,0,11,135,44,1,4,57,7,7,100,6,8,6,0.245,0.35700000000000004,0.389,0.746,1972-07-11,178cm,88kg,32
81,박경완,1994,쌍방울,C,2.62,102,274,240,31,57,8,2,14,111,31,0,2,25,5,0,75,3,4,0,0.23800000000000002,0.322,0.46299999999999997,0.785,1972-07-11,178cm,88kg,21
82,박경완,2002,현대,C,2.02,119,398,330,42,67,10,1,19,136,42,6,4,47,6,4,108,6,12,3,0.203,0.311,0.41200000000000003,0.723,1972-07-11,178cm,88kg,29
83,박경완,2009,SK,C,2.0,65,246,198,32,53,10,0,12,99,38,3,1,33,2,2,39,5,11,2,0.268,0.375,0.5,0.875,1972-07-11,178cm,88kg,36
84,박경완,1992,쌍방울,C,0.24,31,52,49,5,11,1,0,3,21,6,0,0,3,0,0,13,2,0,0,0.22399999999999998,0.26899999999999996,0.429,0.698,1972-07-11,178cm,88kg,19
85,박경완,1991,쌍방울,C,0.06,10,8,6,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0.0,0.25,0.0,0.25,1972-07-11,178cm,88kg,18
86,박경완,1993,쌍방울,C,0.06,26,57,48,1,10,2,0,0,12,2,0,0,3,2,0,14,0,4,0,0.20800000000000002,0.28300000000000003,0.25,0.5329999999999999,1972-07-11,178cm,88kg,20
87,박경완,2011,SK,C,-0.12,10,16,15,0,2,0,0,0,2,1,0,0,1,0,0,6,2,0,0,0.133,0.188,0.133,0.321,1972-07-11,178cm,88kg,38
88,박경완,2013,SK,C,-0.13,8,21,19,1,2,0,0,1,5,1,0,0,0,1,0,5,1,1,0,0.105,0.15,0.263,0.413,1972-07-11,178cm,88kg,40
89,박경완,2012,SK,C,-0.25,8,23,20,0,2,0,0,0,2,0,0,0,1,0,0,6,2,2,0,0.1,0.14300000000000002,0.1,0.243,1972-07-11,178cm,88kg,39
90,강정호,2012,넥센,SS,8.23,124,519,436,77,137,32,0,25,244,82,21,5,71,6,8,78,16,1,5,0.314,0.413,0.56,0.973,1987-04-05,183cm,82kg,24
91,강정호,2014,넥센,SS,8.05,117,501,418,103,149,36,2,40,309,117,3,3,68,13,2,106,8,0,2,0.35600000000000004,0.45899999999999996,0.7390000000000001,1.198,1987-04-05,183cm,82kg,26
92,강정호,2013,넥센,SS,5.55,126,532,450,67,131,21,1,22,220,96,15,8,68,6,3,109,18,2,6,0.29100000000000004,0.387,0.489,0.8759999999999999,1987-04-05,183cm,82kg,25
93,강정호,2010,넥센,SS,4.79,133,522,449,60,135,30,2,12,205,58,2,2,61,7,6,87,14,3,2,0.301,0.391,0.457,0.848,1987-04-05,183cm,82kg,22
94,강정호,2009,히어로즈,SS,3.98,133,538,476,73,136,33,2,23,242,81,3,2,45,4,2,81,18,8,5,0.28600000000000003,0.349,0.508,0.858,1987-04-05,183cm,82kg,21
95,강정호,2011,넥센,SS,3.43,123,504,444,53,125,22,2,9,178,63,4,6,43,9,4,62,12,3,5,0.282,0.353,0.401,0.754,1987-04-05,183cm,82kg,23
96,강정호,2008,히어로즈,SS,2.41,116,408,362,36,98,18,1,8,142,47,3,1,31,5,1,65,12,7,3,0.271,0.33399999999999996,0.392,0.726,1987-04-05,183cm,82kg,20
97,강정호,2007,현대,3B,-0.17,20,15,15,0,2,0,0,0,2,0,0,0,0,0,0,5,1,0,0,0.133,0.133,0.133,0.267,1987-04-05,183cm,82kg,19
98,강정호,2006,현대,,-0.23,10,21,20,1,3,1,0,0,4,1,0,1,0,0,0,8,1,1,0,0.15,0.15,0.2,0.35,1987-04-05,183cm,82kg,18
99,이병규,1999,LG,CF,8.07,131,599,550,117,192,43,8,30,341,99,31,3,34,9,6,65,11,2,4,0.349,0.39399999999999996,0.62,1.014,1983-10-09,178cm,90kg,15
100,이병규,2004,LG,CF,5.72,129,562,496,95,160,26,2,14,232,64,8,4,50,12,1,72,14,3,1,0.32299999999999995,0.397,0.46799999999999997,0.865,1983-10-09,178cm,90kg,20
101,이병규,1997,LG,CF,5.6,126,550,495,82,151,31,8,7,219,69,23,5,43,8,3,50,6,1,3,0.305,0.368,0.442,0.81,1983-10-09,178cm,90kg,13
102,이병규,2000,LG,CF,5.17,129,595,527,99,170,28,1,18,254,99,14,8,52,5,4,91,15,2,9,0.32299999999999995,0.38299999999999995,0.48200000000000004,0.865,1983-10-09,178cm,90kg,16
103,이병규,2005,LG,CF,4.94,119,517,466,62,157,24,2,9,212,75,10,6,34,9,1,62,10,1,7,0.337,0.38799999999999996,0.455,0.843,1983-10-09,178cm,90kg,21
104,이병규,2001,LG,CF,4.55,133,607,542,107,167,30,4,12,241,83,24,8,54,4,6,69,10,4,3,0.308,0.373,0.445,0.818,1983-10-09,178cm,90kg,17
105,이병규,2011,LG,LF,4.36,127,519,485,64,164,24,0,16,236,75,2,1,28,2,1,47,10,2,2,0.33799999999999997,0.375,0.48700000000000004,0.862,1983-10-09,178cm,90kg,27
106,이병규,2014,LG,LF,4.1,116,450,360,66,110,28,3,16,192,87,5,10,74,5,2,78,7,3,8,0.306,0.423,0.5329999999999999,0.956,1983-10-09,178cm,90kg,30
107,이병규,2006,LG,CF,3.83,120,515,478,51,142,29,1,7,194,55,3,2,31,4,5,65,8,1,1,0.297,0.344,0.406,0.75,1983-10-09,178cm,90kg,22
108,이병규,1998,LG,CF,3.48,124,544,499,75,139,31,5,9,207,67,11,6,36,3,1,47,13,3,3,0.27899999999999997,0.32899999999999996,0.415,0.7440000000000001,1983-10-09,178cm,90kg,14
109,이병규,2002,LG,CF,3.43,109,444,389,54,114,25,0,12,175,43,9,6,50,2,12,57,6,1,2,0.293,0.375,0.45,0.825,1983-10-09,178cm,90kg,18
110,이병규,2013,LG,RF,2.92,98,401,374,39,130,19,3,5,170,74,2,2,22,2,2,40,10,0,3,0.348,0.384,0.455,0.8390000000000001,1983-10-09,178cm,90kg,29
111,이병규,2010,LG,LF,2.66,103,362,307,57,92,17,1,12,147,53,5,3,44,3,1,58,4,5,3,0.3,0.389,0.479,0.868,1983-10-09,178cm,90kg,26
112,이병규,2012,LG,1B,2.62,69,270,223,23,71,17,0,2,94,21,8,3,43,3,0,54,2,1,0,0.318,0.435,0.42200000000000004,0.857,1983-10-09,178cm,90kg,28
113,이병규,2018,롯데,DH,1.91,103,257,198,31,54,11,1,10,97,39,0,0,50,7,1,58,5,0,2,0.273,0.43200000000000005,0.49,0.922,1983-10-09,178cm,90kg,34
114,이병규,2012,LG,RF,1.89,118,455,420,52,126,25,1,5,168,41,5,7,22,2,1,58,18,5,6,0.3,0.33299999999999996,0.4,0.733,1983-10-09,178cm,90kg,28
115,이병규,2015,LG,LF,1.69,70,277,230,42,56,9,1,12,103,35,2,1,43,3,2,83,4,1,0,0.243,0.37,0.44799999999999995,0.8170000000000001,1983-10-09,178cm,90kg,31
116,이병규,2003,LG,CF,1.27,44,178,154,20,43,9,2,5,71,30,1,3,21,1,4,23,0,0,2,0.27899999999999997,0.365,0.461,0.826,1983-10-09,178cm,90kg,19
117,이병규,2016,LG,LF,1.18,103,350,290,43,79,12,2,7,116,37,8,5,47,10,1,81,4,0,3,0.272,0.389,0.4,0.789,1983-10-09,178cm,90kg,32
118,이병규,2010,LG,RF,1.16,117,451,404,49,117,14,1,9,160,64,3,4,36,1,5,53,11,4,6,0.29,0.345,0.396,0.741,1983-10-09,178cm,90kg,26
119,이병규,2013,LG,1B,0.99,73,202,172,24,50,6,1,2,64,26,1,1,26,3,0,47,0,1,0,0.29100000000000004,0.39299999999999996,0.37200000000000005,0.765,1983-10-09,178cm,90kg,29
120,이병규,2011,LG,DH,0.53,33,112,88,13,22,3,0,4,37,14,1,1,20,1,0,32,2,1,2,0.25,0.387,0.42,0.8079999999999999,1983-10-09,178cm,90kg,27
121,이병규,2008,LG,LF,0.11,33,86,78,7,18,6,1,1,29,9,0,0,5,2,0,23,3,1,0,0.231,0.294,0.37200000000000005,0.6659999999999999,1983-10-09,178cm,90kg,24
122,이병규,2016,LG,,0.05,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1983-10-09,178cm,90kg,32
123,이병규,2009,LG,,0.02,16,21,17,0,3,2,0,0,5,4,0,0,4,0,0,10,0,0,0,0.17600000000000002,0.33299999999999996,0.294,0.628,1983-10-09,178cm,90kg,25
124,이병규,2006,LG,CF,-0.1,7,8,8,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.125,0.125,0.125,0.25,1983-10-09,178cm,90kg,22
125,이병규,2019,롯데,DH,-0.11,8,22,19,1,3,2,0,0,5,0,0,0,2,1,0,7,1,0,0,0.158,0.273,0.263,0.536,1983-10-09,178cm,90kg,35
126,이병규,2017,LG,LF,-0.23,19,48,44,5,9,0,1,0,11,5,0,0,4,0,0,14,0,0,0,0.205,0.271,0.25,0.521,1983-10-09,178cm,90kg,33
127,이병규,2015,LG,DH,-0.47,54,102,96,3,21,7,0,1,31,9,0,0,5,0,0,18,4,0,1,0.21899999999999997,0.255,0.32299999999999995,0.578,1983-10-09,178cm,90kg,31
128,이병규,2014,LG,DH,-0.72,62,207,195,23,49,6,0,2,61,25,1,1,8,2,0,21,5,2,0,0.251,0.28800000000000003,0.313,0.601,1983-10-09,178cm,90kg,30
129,박석민,2012,삼성,3B,7.89,127,549,443,79,138,19,3,23,232,91,2,3,72,27,5,83,8,2,5,0.312,0.433,0.524,0.9570000000000001,1985-06-22,178cm,88kg,26
130,박석민,2013,삼성,3B,5.85,117,474,396,61,126,24,0,18,204,76,4,2,54,21,1,73,13,0,2,0.318,0.425,0.515,0.94,1985-06-22,178cm,88kg,27
131,박석민,2015,삼성,3B,5.38,135,559,448,90,144,25,0,26,247,116,3,0,83,19,0,97,13,1,8,0.321,0.441,0.551,0.992,1985-06-22,178cm,88kg,29
132,박석민,2010,삼성,3B,4.9,112,457,356,58,108,18,0,15,171,64,3,2,76,15,4,84,14,5,5,0.303,0.44,0.48,0.9209999999999999,1985-06-22,178cm,88kg,24
133,박석민,2016,NC,3B,4.78,126,506,427,77,131,20,0,32,247,104,2,0,56,16,2,95,18,2,4,0.307,0.40399999999999997,0.578,0.982,1985-06-22,178cm,88kg,30
134,박석민,2011,삼성,3B,4.65,128,537,457,74,127,24,3,15,202,86,3,1,59,13,1,105,13,5,3,0.278,0.374,0.442,0.816,1985-06-22,178cm,88kg,25
135,박석민,2014,삼성,3B,4.52,110,425,356,77,112,21,0,27,214,72,0,1,54,12,3,62,12,0,3,0.315,0.419,0.601,1.02,1985-06-22,178cm,88kg,28
136,박석민,2008,삼성,3B,4.33,126,499,416,65,116,27,1,14,187,64,2,3,61,12,1,84,15,8,2,0.27899999999999997,0.385,0.45,0.8340000000000001,1985-06-22,178cm,88kg,22
137,박석민,2009,삼성,3B,4.16,97,375,295,63,84,17,0,24,173,62,0,0,54,17,4,66,5,2,7,0.285,0.41600000000000004,0.586,1.002,1985-06-22,178cm,88kg,23
138,박석민,2019,NC,3B,3.31,112,444,360,49,96,17,1,19,172,74,1,2,65,12,2,69,17,4,3,0.267,0.39299999999999996,0.478,0.871,1985-06-22,178cm,88kg,33
139,박석민,2017,NC,3B,1.73,101,382,319,43,78,15,0,14,135,56,1,2,50,13,0,92,17,0,0,0.245,0.369,0.423,0.792,1985-06-22,178cm,88kg,31
140,박석민,2018,NC,DH,0.91,103,375,318,40,81,14,1,16,145,55,1,0,39,15,4,80,11,0,3,0.255,0.36,0.456,0.816,1985-06-22,178cm,88kg,32
141,박석민,2005,삼성,,-0.05,52,92,81,7,16,3,1,0,21,4,1,0,7,3,0,13,3,0,1,0.198,0.28300000000000003,0.259,0.542,1985-06-22,178cm,88kg,19
142,박석민,2004,삼성,,-0.2,23,32,29,2,3,1,0,1,7,3,0,0,2,1,0,7,3,0,0,0.10300000000000001,0.188,0.24100000000000002,0.429,1985-06-22,178cm,88kg,18
143,박병호,2015,넥센,1B,7.76,140,622,528,129,181,35,1,53,377,146,10,3,78,12,6,161,10,0,4,0.34299999999999997,0.436,0.7140000000000001,1.15,1986-07-10,185cm,107kg,28
